valid_losses,et_valid_dice,wt_valid_dice,tc_valid_dice,tc_valid_mean_sens,tc_valid_mean_spec,tc_valid_mean_acc,tc_valid_mean_prec,tc_valid_mean_iou,et_valid_mean_sens,et_valid_mean_spec,et_valid_mean_acc,et_valid_mean_prec,et_valid_mean_iou,wt_valid_mean_sens,wt_valid_mean_spec,wt_valid_mean_acc,wt_valid_mean_prec,wt_valid_mean_iou
0.9459676146507263,0.21717751026153564,0.6131092309951782,0.3606756627559662,0.8825271129608154,0.9445282220840454,0.9447682499885559,0.2320629060268402,0.24200648069381714,0.8514561057090759,0.9641351103782654,0.961968719959259,0.5277100205421448,0.4975723624229431,0.7991108894348145,0.935832142829895,0.9360237717628479,0.11209414899349213,0.13019749522209167
0.9369683861732483,0.2338489443063736,0.6517189741134644,0.3800475001335144,0.892341136932373,0.9501407742500305,0.9504014253616333,0.24694016575813293,0.2581559121608734,0.8711594939231873,0.9705906510353088,0.968920111656189,0.5711225271224976,0.5444983839988708,0.8122523427009583,0.9417219758033752,0.941994309425354,0.1216215193271637,0.1417965441942215
0.925580620765686,0.2069913148880005,0.6252127289772034,0.34601056575775146,0.9092708230018616,0.9435802698135376,0.944309651851654,0.21565045416355133,0.22725187242031097,0.913276195526123,0.9653247594833374,0.9656866192817688,0.5108159780502319,0.5035496354103088,0.819775402545929,0.9350690245628357,0.9354825615882874,0.1048177108168602,0.12250753492116928
0.9128074645996094,0.2288540005683899,0.6737281680107117,0.3839954137802124,0.9107224345207214,0.9499955773353577,0.9505916237831116,0.2459615170955658,0.25879791378974915,0.929103434085846,0.9717825651168823,0.9716378450393677,0.5709057450294495,0.5592701435089111,0.8227290511131287,0.9414689540863037,0.94182288646698,0.11771705746650696,0.1374332159757614
0.9006626605987549,0.2226400375366211,0.657869279384613,0.37101322412490845,0.9165027141571045,0.9489405751228333,0.9495954513549805,0.23635819554328918,0.24913747608661652,0.9276226162910461,0.9709081053733826,0.9709604382514954,0.5558639764785767,0.546618640422821,0.8288225531578064,0.9404788017272949,0.9408704042434692,0.11423230916261673,0.13354294002056122
0.8920155763626099,0.1932385414838791,0.6018718481063843,0.33115217089653015,0.9216194152832031,0.9361695647239685,0.937047004699707,0.2058948129415512,0.21729370951652527,0.9406647682189941,0.9581477642059326,0.9589859247207642,0.48658856749534607,0.48199087381362915,0.8312968611717224,0.9277300238609314,0.9282143115997314,0.09745476394891739,0.11394155770540237
0.8810280561447144,0.24886541068553925,0.7138078212738037,0.41070812940597534,0.9148189425468445,0.9588589668273926,0.9593592286109924,0.2682613730430603,0.28229156136512756,0.9115636944770813,0.9808756113052368,0.9802582263946533,0.6286011934280396,0.6129430532455444,0.8260910511016846,0.9504886269569397,0.9508031010627747,0.13006126880645752,0.15191245079040527
0.8755388855934143,0.2489686757326126,0.7293693423271179,0.4172378182411194,0.9164895415306091,0.960433840751648,0.9609509110450745,0.2727920413017273,0.28695914149284363,0.9391711950302124,0.9826451539993286,0.9822021722793579,0.6410233378410339,0.6272614002227783,0.8279987573623657,0.952032744884491,0.9523594379425049,0.12968188524246216,0.1514626145362854
0.8727586269378662,0.2547435164451599,0.7482563853263855,0.42911309003829956,0.9165040850639343,0.9628616571426392,0.9633558392524719,0.28245604038238525,0.2969972789287567,0.9315651059150696,0.9850753545761108,0.9844902753829956,0.6656643152236938,0.6489680409431458,0.8273141384124756,0.9544888138771057,0.954799473285675,0.13325949013233185,0.1555841565132141
0.8720749616622925,0.2565421164035797,0.7546001672744751,0.43283334374427795,0.9158693552017212,0.9635018110275269,0.963979959487915,0.2855997383594513,0.30019649863243103,0.9308934211730957,0.985684871673584,0.9850363731384277,0.6747545599937439,0.6567275524139404,0.826586127281189,0.9551261067390442,0.9554281234741211,0.13444899022579193,0.15694206953048706
